candidate_name,candidate_type,model_type,n_features,n_benchmarks,mean_current_predicted_return,mean_ic,mean_hit_rate,mean_oos_r2,mean_nw_ic,mean_policy_return_sign,mean_policy_return_neutral_3pct,mean_mae,notes
ensemble_ridge_gbt_v18,ensemble,ensemble,25,8,-0.1528525234958733,0.1911005419965415,0.6857258027732166,-0.14241425593684032,0.1911005419965415,0.07981739921042233,0.07745167013584062,0.14829575030816067,v18 assembled stack from the benchmark-side bias-reduction swaps.
ridge_lean_v1__v18,model,ridge,12,8,-0.08896328657975572,0.18334159530338634,0.6838318737456669,-0.30033680843272637,0.18334159530338634,0.0790266221359782,0.07777792822351781,0.15712185826233427,v18 Ridge swap: real_yield_change_6m replacing yield_curvature on the v16 Ridge stack.
ensemble_ridge_gbt_v16,ensemble,ensemble,25,8,-0.14005127883273774,0.16571046452791197,0.678798006750593,-0.1607844968036985,0.16571046452791197,0.07867256153113517,0.07483609203694148,0.14993989352208284,v16 assembled stack from the first confirmed winning swaps.
ensemble_ridge_gbt_v20_value,ensemble,ensemble,25,8,-0.1725203129859517,0.18885911828207114,0.6738738368910783,-0.17086766680754512,0.18885911828207114,0.07769421944378532,0.07472721704736393,0.1502020427229811,v20 valuation-focused stack: best Ridge valuation swap plus the strongest confirmed GBT v16 swap.
ridge_lean_v1__v16,model,ridge,12,8,-0.06767074779393628,0.12721453808868427,0.6659573982849845,-0.3431713565274256,0.12721453808868427,0.07718221246688745,0.07522322633463596,0.1600360600269914,v16 Ridge with book value growth replacing ROE net income TTM.
ensemble_ridge_gbt_v20_best,ensemble,ensemble,25,8,-0.17537820074737936,0.1888651553320395,0.6664424831235176,-0.1664719817525987,0.1888651553320395,0.07681276467279433,0.07507989220179682,0.14974203949712672,v20 best-of-confirmed stack: best Ridge valuation swap plus the strongest GBT benchmark-side stack.
ridge_lean_v1,model,ridge,12,8,-0.09968501319904127,0.1897001694472627,0.6622402390074804,-0.31217052661469935,0.1897001694472627,0.0765430296007854,0.07520060757124,0.15670012512602421,Base v14/v15 Ridge replacement candidate.
ensemble_ridge_gbt_v20_usd,ensemble,ensemble,25,8,-0.1664455067943751,0.15320358280765128,0.6648485677796023,-0.20302134927224025,0.15320358280765128,0.07549166243841055,0.07420385180809443,0.15285825996327895,v20 macro-focused stack: best Ridge valuation swap plus the best confirmed USD macro GBT swap.
gbt_lean_plus_two__v18,model,gbt,13,8,-0.21902616692265114,0.15730278240197337,0.6425797071702244,-0.2397466492913964,0.15730278240197337,0.07526923816776512,0.07302617169307779,0.1535969307749127,v18 GBT swap: vwo_vxus_spread_6m replacing real_rate_10y on the v16 GBT stack.
ridge_lean_v1__v20_value,model,ridge,12,8,-0.12789339736239153,0.1473988380840907,0.650960591133005,-0.45606556310916535,0.1473988380840907,0.0739899850382125,0.07382506224350704,0.16511007003639294,v20 Ridge valuation swap: pgr_pe_vs_market_pe replacing roe_net_income_ttm.
ensemble_ridge_gbt_v20_pricing,ensemble,ensemble,25,8,-0.17158848891627212,0.1382071544404067,0.6607364075898559,-0.2074514206701635,0.1382071544404067,0.07373387407911211,0.07167568703147484,0.15259843245525845,v20 pricing-focused stack: best Ridge valuation swap plus the best confirmed GBT pricing-power swap.
gbt_lean_plus_two__v20_usd,model,gbt,13,8,-0.20764530870776288,0.09639858691068723,0.6340885559204524,-0.3400657163577956,0.09639858691068723,0.07059430888872553,0.06888232380816253,0.160708366046251,v20 GBT macro swap: usd_broad_return_3m replacing nfci.
baseline_historical_mean,baseline,baseline,0,8,0.052590880393228845,-0.14237015009642612,0.6373530149607736,-0.20470187241513502,-0.14237015009642612,0.07038680020763428,0.07015615622163651,0.1503402438180013,Historical-mean benchmark baseline.
gbt_lean_plus_two__v16,model,gbt,13,8,-0.21604538122744688,0.1624731407301154,0.6396912059843094,-0.2485374824928932,0.1624731407301154,0.0702156491090073,0.06943174712564884,0.1535667935651579,v16 GBT with rate adequacy gap replacing vehicle miles traveled.
ridge_current,model,ridge,14,8,-0.129359561876496,0.11191061950402441,0.6140205938697318,-0.42426624217482617,0.11191061950402441,0.06852118098566697,0.06844902561073704,0.16556537505713076,Current deployed Ridge feature set.
live_production_ensemble_reduced,ensemble,ensemble,55,8,-0.14479272210337796,0.110060344888251,0.6046987319832147,-0.699397325283843,0.110060344888251,0.06804086993395418,0.06465556159563308,0.17067745211820828,Current deployed 4-model stack on the reduced forecast universe.
gbt_lean_plus_two,model,gbt,13,8,-0.22205678670498585,0.0683618867400209,0.6091638159095056,-0.3690702485400015,0.0683618867400209,0.06632984028696134,0.06621409688826338,0.1629351006672855,Base v14/v15 GBT replacement candidate.
gbt_current,model,gbt,11,8,-0.20407707836297911,0.09756327447338002,0.6028006978653531,-0.8555211469603263,0.09756327447338002,0.0658430558956662,0.06483220359319329,0.17595253641677766,Current deployed GBT feature set.
elasticnet_current,model,elasticnet,14,8,-0.08002324829864192,0.06764625085804103,0.5952037721218756,-0.4978260576811306,0.06764625085804103,0.06464576637589095,0.06535614480217392,0.16761213296177735,Current deployed ElasticNet feature set.
gbt_lean_plus_two__v20_pricing,model,gbt,13,8,-0.22026427544033328,0.08973750732048798,0.6097475369458127,-0.340319512763623,0.08973750732048798,0.06428431573959659,0.0653605438455361,0.16071957706094364,v20 GBT pricing swap: auto_pricing_power_spread replacing vmt_yoy.
bayesian_ridge_current,model,bayesian_ridge,16,8,-0.21420382085129175,0.16441251902335258,0.5535704022988506,-103.05546553539115,0.16441251902335258,0.05957303221087089,0.059410096725385,0.32758527332565734,Current deployed BayesianRidge feature set.
